Date,SPY,TLT,GLD,DBMF
2007-02-22,102.016663,47.966652,67.150002,18.333862
2007-02-23,101.617996,48.309227,67.720001,18.333862
2007-02-26,101.527069,48.63002,68.099998,18.333862
2007-02-27,97.561668,49.244492,65.410004,18.333862
2007-02-28,98.56179,49.021564,66.480003,18.333862
2007-03-01,98.267998,48.990448,65.82,18.333862
2007-03-02,96.981216,49.236088,63.709999,18.333862
2007-03-05,96.05806,49.317974,62.93,18.165191
2007-03-06,97.701569,49.170601,64.150002,18.172524
2007-03-07,97.603653,49.361626,64.300003,18.231194
2007-03-08,98.428902,49.317974,64.480003,18.223859
2007-03-09,98.456909,48.799408,64.25,18.231194
2007-03-12,98.603745,48.990448,64.370003,18.165191
2007-03-13,96.687485,49.285225,63.720001,18.150525
2007-03-14,97.407806,49.06144,63.939999,18.135857
2007-03-15,97.540718,49.055939,63.98,18.069852
2007-03-16,97.267593,49.045013,64.620003,18.055188
2007-03-19,98.440163,48.941364,64.739998,18.069852
2007-03-20,98.980766,48.968662,65.269997,18.084522
2007-03-21,100.609726,48.990448,65.82,18.179855
2007-03-22,100.532516,48.602905,65.760002,18.260528
2007-03-23,100.67997,48.46645,65.150002,18.223859
2007-03-26,100.546585,48.526451,65.839996,18.275192
2007-03-27,100.3078,48.444618,65.699997,18.289862
2007-03-28,99.577606,48.34634,66.050003,18.319198
2007-03-29,99.682961,48.280846,65.650002,18.407198
2007-03-30,99.703979,48.188065,65.739998,18.355859
2007-04-02,99.816345,48.268063,65.849998,18.333862
2007-04-03,100.890633,48.207809,65.830002,18.194525
2007-04-04,101.002968,48.257114,66.809998,18.260528
2007-04-05,101.276794,48.076279,66.860001,18.319198
2007-04-09,101.417252,47.758514,66.529999,18.260528
2007-04-10,101.536621,47.900986,67.160004,18.348528
2007-04-11,101.122292,47.868092,67.080002,18.363198
2007-04-12,101.571701,47.879028,66.989998,18.377862
2007-04-13,102.035088,47.731148,67.839996,18.414533
2007-04-16,103.004074,47.994122,68.400002,18.363198
2007-04-17,103.277908,48.262581,68.0,18.304528
2007-04-18,103.404289,48.503624,68.379997,18.304528
2007-04-19,103.376198,48.421459,67.529999,18.304528
2007-04-20,104.352135,48.295437,68.699997,18.333862
2007-04-23,103.958992,48.470776,68.260002,18.399867
2007-04-24,104.001068,48.651535,67.730003,18.348528
2007-04-25,104.956009,48.481739,67.889999,18.495202
2007-04-26,105.075325,48.131084,66.870003,18.43653
2007-04-27,104.991127,48.120113,67.559998,18.509866
2007-04-30,104.120453,48.624176,67.089996,18.480532
2007-05-01,104.38723,48.659382,66.690002,18.509866
2007-05-02,104.998108,48.631916,66.660004,18.465868
2007-05-03,105.566917,48.521893,67.489998,18.487867
2007-05-04,105.967072,48.719841,68.190002,18.465868
2007-05-07,105.988159,48.851822,68.25,18.429197
2007-05-08,105.847717,48.741852,67.879997,18.451198
